"question_id","created_at","cypher_query","execution_time_ms","query_complexity","question","result_count","sandbox_name","validated"
"029fc2ee-d1d3-45de-9de8-b5d1ed1afdbf","2025-11-16T18:14:09.769830+00:00","""MATCH (u:User)-[:ASKED]->(q1:Question)-[:TAGGED]->(t1:Tag {name: 'python'}), (u)-[:ASKED]->(q2:Question)-[:TAGGED]->(t2:Tag {name: 'machine-learning'}) RETURN DISTINCT u.display_name LIMIT 10""","295.68","multi-hop","Find users who have asked questions with both 'python' and 'machine-learning' tags","0","buzzoverflow","true"
"b6a06e73-8902-4863-a743-bfa1bab84b37","2025-11-16T18:28:49.994738+00:00","""MATCH (u:User)-[:ASKED]->(q:Question)-[:TAGGED]->(t:Tag) WITH u, COLLECT(DISTINCT t.name) AS tags WHERE SIZE(tags) > 1 RETURN u.display_name, tags LIMIT 10""","303.34","multi-hop","Identify developers who have contributed questions across multiple tags","10","buzzoverflow","true"
"a826e5bf-cb44-4495-8081-bcf641542623","2025-11-16T18:19:50.866939+00:00","""MATCH (q:Question)-[:TAGGED]->(t:Tag) RETURN t.name, count(q) AS question_count ORDER BY question_count DESC LIMIT 5""","301.2","medium","What are the top 5 tags with the most questions?","5","buzzoverflow","true"
"f8858565-d908-4fa5-bf8e-1beabf4ae294","2025-11-16T18:13:47.634483+00:00","""MATCH (u:User) RETURN u.display_name, u.reputation ORDER BY u.reputation DESC LIMIT 3""","297.18","medium","Who are the top 3 users with the highest reputation?","3","buzzoverflow","true"
"e4db9c4c-d0a7-4c6d-8831-b90e6ab4d006","2025-11-13T19:13:12.443726+00:00","""MATCH (u:User)-[:ASKED]->(q1:Question)-[:TAGGED]->(t1:Tag {name: 'javascript'}), (u)-[:ASKED]->(q2:Question)-[:TAGGED]->(t2:Tag {name: 'python'}) RETURN DISTINCT u.display_name LIMIT 10""","299.37","multi-hop","Find users who have asked questions in both 'javascript' and 'python' tags","10","buzzoverflow","true"
"812d265d-3be1-47c0-9311-20829d190a69","2025-11-14T17:11:58.868697+00:00","""MATCH (u:User)-[:ASKED]->(q1:Question)-[:TAGGED]->(t1:Tag), (u)-[:ASKED]->(q2:Question)-[:TAGGED]->(t2:Tag) WHERE t1.name CONTAINS 'react' AND t2.name CONTAINS 'typescript' RETURN DISTINCT u.display_name LIMIT 10""","305.07","multi-hop","Which developers have asked questions in both React and TypeScript domains?","10","buzzoverflow","true"
"59cc5bb9-49bd-43ef-983e-d0124af1d2c7","2025-11-14T17:20:36.650871+00:00","""MATCH (u:User)-[:ASKED]->(q1:Question)-[:TAGGED]->(t1:Tag {name: 'graphql'}), (u)-[:ASKED]->(q2:Question)-[:TAGGED]->(t2:Tag {name: 'apollo'}) RETURN DISTINCT u.display_name LIMIT 10""","303.23","multi-hop","Find users who have asked questions in both GraphQL and Apollo tags","10","buzzoverflow","true"
"8615efb4-29e8-4705-813b-6055b1867aed","2025-11-14T17:10:49.029732+00:00","""MATCH (q:Question)-[:TAGGED]->(t:Tag) WHERE q.score >= 10 RETURN t.name, COUNT(q) AS high_score_questions ORDER BY high_score_questions DESC LIMIT 5""","302.04","complex","What are the most popular tags for questions with high scores?","5","buzzoverflow","true"
"449d6a70-aaef-4ed8-aa2d-d32a912a9d98","2025-11-16T18:33:21.379455+00:00","""MATCH (q:Question)-[:TAGGED]->(t:Tag) WHERE q.upVotes > 100 RETURN t.name, count(q) AS high_vote_questions ORDER BY high_vote_questions DESC LIMIT 5""","300.35","complex","""What are the top 5 tags with the most questions, filtered for questions with more than 100 upvotes?""","0","buzzoverflow","true"
"ff093823-7215-4d75-b0d1-109e723e2768","2025-11-14T17:11:26.306508+00:00","MATCH (q:Question) WHERE q.answered = true RETURN count(q) AS answered_questions","299.64","medium","How many questions have been marked as answered?","1","buzzoverflow","true"
